OBJECTID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,LINC_Region,ShapeSTArea,ShapeSTLength
90,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.22900391,FULTON,{44A3942A-9608-4E68-A927-A38721FF266D},3,14893446358.9947,918983.645115584
91,13,043,13043,Candler,Candler County,10998,N,N,N,N,N,N,N,Heart of Georgia Altamaha,159389,249.04499817,CANDLER,{A1003CD4-E916-4F58-A82C-9D91BC643391},9,6942990527.85566,350868.842772637
92,13,037,13037,Calhoun,Calhoun County,6694,N,N,N,N,N,N,N,Southwest Georgia,181462,283.53399658,CALHOUN,{224CCDA8-41B9-40B9-8444-A0F5458DFD5C},10,7904473606.01248,496327.461370839
93,13,007,13007,Baker,Baker County,3451,N,N,N,N,N,N,N,Southwest Georgia,223407,349.07400513,BAKER,{58F5A8F1-0D97-4CEA-A1BC-A17B637A01CD},10,9731633371.11617,625353.708275884
94,13,181,13181,Lincoln,Lincoln County,7996,N,N,N,N,N,N,N,Central Savannah River Area,164740,257.40600586,LINCOLN,{03E63D7A-A977-42ED-B19E-F1E099E4580B},7,7176063880.88308,484658.315103471
95,13,081,13081,Crisp,Crisp County,23439,N,N,N,N,N,N,N,River Valley,179779,280.9039917,CRISP,{3B14D541-3E98-43CD-9E91-18177FD28631},8,7831164900.52885,394739.229002372
96,13,153,13153,Houston,Houston County,139900,N,N,N,N,N,N,N,Middle Georgia,243113,379.86499023,HOUSTON,{5A48AFDF-AB1F-4894-AE69-8F918A0F3BDE},6,10590025718.6698,629973.582699133
97,13,227,13227,Pickens,Pickens County,29431,N,N,N,N,Y,N,N,Northwest Georgia,148909,232.66999817,PICKENS,{A1F6DFDD-7168-4BF9-A01F-215DCC1E865D},1,6486456834.5391,410594.630187356
98,13,307,13307,Webster,Webster County,2799,N,N,N,N,N,N,N,River Valley,134546,210.227005,WEBSTER,{5DFC00B1-BAD5-4AEA-88BD-9FD653AFAE28},8,5860807399.323,394443.722087676
99,13,305,13305,Wayne,Wayne County,30099,N,N,N,N,N,N,N,Heart of Georgia Altamaha,415614,649.39697266,WAYNE,{11969B4A-2AFE-4932-AADB-7C59856DFD3E},9,18104146190.8651,726810.161251673
100,13,103,13103,Effingham,Effingham County,52250,N,N,N,N,N,N,N,Coastal Regional Commission,309552,483.67498779,EFFINGHAM,{7A882334-7BCB-42B3-A580-4F946FA096E1},12,13484099692.6455,689777.98683996
101,13,139,13139,Hall,Hall County,179684,N,N,Y,N,N,N,Y,Georgia Mountains,274700,429.21899414,HALL,{07D5978F-9EDF-47D0-BBEE-B9DBF7387AD2},2,11965936895.625,562421.34051081
102,13,271,13271,Telfair,Telfair County,16500,N,N,N,N,N,N,N,Heart of Georgia Altamaha,284203,444.06698608,TELFAIR,{55B32696-DA1F-4779-9509-775FBCE03593},9,12379887751.6247,660141.969772642
103,13,221,13221,Oglethorpe,Oglethorpe County,14899,N,N,N,N,N,N,N,Northeast Georgia,282918,442.05899048,OGLETHORPE,{8DDF8E69-3F25-4805-97B0-8661545E8CCD},5,12323909200.0289,587380.758321978
104,13,303,13303,Washington,Washington County,21187,N,N,N,N,N,N,N,Central Savannah River Area,438077,684.49597168,WASHINGTON,{4CADD5B1-A996-4373-9943-1A69445C1175},7,19082655164.7339,721672.811632802
105,13,021,13021,Bibb,Bibb County,155547,N,N,N,N,N,N,N,Middle Georgia,163409,255.32600403,BIBB,{8B314E60-365A-4E45-BC35-BE723D7DBFDD},6,7118084171.50556,465682.386453793
106,13,255,13255,Spalding,Spalding County,64073,N,N,N,Partial,Y,N,Y,Three Rivers,127712,199.55099487,SPALDING,{A2D20EDB-3EDE-4795-8F48-66BB0B94AA3E},4,5563156156.13588,421666.210861607
107,13,091,13091,Dodge,Dodge County,21796,N,N,N,N,N,N,N,Heart of Georgia Altamaha,321998,503.12200928,DODGE,{2B76B73F-BE10-467B-9F6A-BA2124AB2611},9,14026239136.7208,681026.675359665
108,13,265,13265,Taliaferro,Taliaferro County,1717,N,N,N,N,N,N,N,Central Savannah River Area,125041,195.3769989,TALIAFERRO,{C5790EB2-5AA4-423E-B967-929009DEBC7F},7,5446791403.07129,470897.016765222
